Number,Name,Categories,Phone,Address,Rating,Rating Count,Yelp_Rating,Yelp_type_Pricing,Yelp_has_delivery
107,The Park's Finest,"Restaurants, Barbecue Restaurants, Caterers",(213) 481-2800,"1267 W Temple St, Los Angeles, CA 90026",rating not available/5,Review count not available,4.0,$$,Yes
226,The Park's Finest,"Restaurants, Barbecue Restaurants, Caterers",(213) 481-2800,"1267 W Temple St, Los Angeles, CA 90026",rating not available/5,Review count not available,4.0,$$,Yes
128,Osteria Mamma,"Restaurants, Italian Restaurants, Pizza",(323) 284-7060,"5732 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(4),4.0,$$,Yes
156,ShaBuShi,"Restaurants, Japanese Restaurants",(323) 522-6457,"5185 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(87),4.0,$$,Yes
172,The Kitchen,"Restaurants, American Restaurants, Caterers",(323) 664-3663,"4348 Fountain Ave, Los Angeles, CA 90029",rating not available/5,(40),4.0,$$,Yes
174,Son of a Gun,"Restaurants, Seafood Restaurants",(323) 782-9033,"8370 W 3rd St, Los Angeles, CA 90048",rating not available/5,(4),4.0,$$$,Yes
230,Son of a Gun,"Restaurants, Seafood Restaurants",(323) 782-9033,"8370 W 3rd St, Los Angeles, CA 90048",rating not available/5,(4),4.0,$$$,Yes
219,Sidewalk Grill,"Restaurants, Delicatessens, Caterers",(323) 669-3354,"1727 N Vermont Ave, Los Angeles, CA 90027",rating not available/5,Review count not available,4.5,$$,Yes
1720,Sidewalk Grill,"Restaurants, Delicatessens, Caterers",(323) 669-3354,"1727 N Vermont Ave, Los Angeles, CA 90027",rating not available/5,Review count not available,4.5,$$,Yes
223,Sun Nong Dan,"Restaurants, Take Out Restaurants, Asian Restaurants",(213) 365-0303,"3470 W 6th St Ste 7, Los Angeles, CA 90020",rating not available/5,(1),4.5,$$,Yes
429,Sun Nong Dan,"Restaurants, Take Out Restaurants, Asian Restaurants",(213) 365-0303,"3470 W 6th St Ste 7, Los Angeles, CA 90020",rating not available/5,(1),4.5,$$,Yes
225,La Pergoletta,"Restaurants, Italian Restaurants, Caterers",(323) 664-8259,"1802 Hillhurst Ave, Los Angeles, CA 90027",rating not available/5,(2),4.5,$$,Yes
348,La Pergoletta,"Restaurants, Italian Restaurants, Caterers",(323) 664-8259,"1802 Hillhurst Ave, Los Angeles, CA 90027",rating not available/5,(2),4.5,$$,Yes
227,Bao Dim Sum House,"Restaurants, Chinese Restaurants, Asian Restaurants",(323) 655-6556,"8256 Beverly Blvd, Los Angeles, CA 90048",rating not available/5,(3),4.0,$$,Yes
282,Bao Dim Sum House,"Restaurants, Chinese Restaurants, Asian Restaurants",(323) 655-6556,"8256 Beverly Blvd, Los Angeles, CA 90048",rating not available/5,(3),4.0,$$,Yes
231,Ham Ji Park,"Restaurants, Asian Restaurants, Korean Restaurants",(213) 365-8773,"3407 W 6th St, Los Angeles, CA 90020",rating not available/5,(4),4.0,$$,Yes
268,Ham Ji Park,"Restaurants, Asian Restaurants, Korean Restaurants",(213) 365-8773,"3407 W 6th St, Los Angeles, CA 90020",rating not available/5,(4),4.0,$$,Yes
1741,Ham Ji Park,"Restaurants, Barbecue Restaurants, Korean Restaurants",(323) 733-8333,"4135 W Pico Blvd, Los Angeles, CA 90019",rating not available/5,Review count not available,4.0,$$,Yes
242,Mario's Peruvian & Seafood,"Restaurants, Peruvian Restaurants, Latin American Restaurants",(323) 466-4181,"5786 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(2),4.0,$$,No
2843,Mario's Peruvian & Seafood,"Restaurants, Peruvian Restaurants, Latin American Restaurants",(323) 466-4181,"5786 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(2),4.0,$$,No
249,Perch,"Restaurants, French Restaurants, American Restaurants",(213) 802-1770,"448 S Hill St, Los Angeles, CA 90013",rating not available/5,(7),4.0,$$$,Yes
291,Otium,"Restaurants, American Restaurants",(213) 935-8500,"222 S Hope St, Los Angeles, CA 90012",rating not available/5,(3),4.0,$$$,Yes
295,Pine & Crane,"Restaurants, Asian Restaurants, Chinese Restaurants",(323) 668-1128,"1521 Griffith Park Blvd, Los Angeles, CA 90026",rating not available/5,(3),4.5,$$,Yes
317,Osteria La Buca,"Restaurants, Take Out Restaurants, Italian Restaurants",(323) 462-1900,"5210 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(3),4.0,$$,Yes
812,Osteria La Buca,"Restaurants, Italian Restaurants, Pizza",(323) 462-1900,"5210 1/2 Melrose Ave, Los Angeles, CA 90038",rating not available/5,Review count not available,4.0,$$,Yes
1354,Osteria La Buca,"Restaurants, Take Out Restaurants, Italian Restaurants",(323) 462-1900,"5210 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(3),4.0,$$,Yes
330,Hollywood Burger,"Restaurants, Hamburgers & Hot Dogs, American Restaurants",(323) 378-5668,"6250 Hollywood Blvd Ste 100, Los Angeles, CA 90028",rating not available/5,(2),4.5,$$,Yes
334,Marugame Monzo,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 346-9762,"329 E 1st St, Los Angeles, CA 90012",rating not available/5,(2),4.5,$$,Yes
367,Beachwood Cafe,"Restaurants, American Restaurants, Coffee Shops",(323) 871-1717,"2695 N Beachwood Dr, Los Angeles, CA 90068",rating not available/5,(2),4.0,$$,Yes
382,My Two Cents,"Restaurants, American Restaurants",(323) 938-1012,"5583 W Pico Blvd, Los Angeles, CA 90019",rating not available/5,(2),4.5,$$,Yes
388,Eggslut,"Restaurants, American Restaurants",(213) 625-0292,"317 S. Broadway, Stall D-1, Los Angeles, CA 90013",rating not available/5,(3),4.0,$$,Yes
396,Pizzeria Mozza,"Restaurants, Italian Restaurants, Pasta",(323) 297-0101,"641 N Highland Ave, Los Angeles, CA 90036",rating not available/5,(2),4.0,$$,Yes
424,L'Antica Pizzeria Da Michele,"Restaurants, Italian Restaurants, Bars",(323) 366-2408,"1534 N Mccadden Pl, Los Angeles, CA 90028",rating not available/5,(1),4.5,$$$,Yes
428,Bavel,"Restaurants, American Restaurants, Mediterranean Restaurants",(213) 232-4966,"500 Mateo St, Los Angeles, CA 90013",rating not available/5,(1),4.5,$$$,Yes
431,M Grill,"Restaurants, Brazilian Restaurants, Steak Houses",(213) 389-2770,"3832 Wilshire Blvd 2nd Fl, Los Angeles, CA 90010",rating not available/5,(1),4.5,$$$$,Yes
434,Eat This Cafe,"Restaurants, American Restaurants, Caterers",(323) 999-2003,"6547 Santa Monica Blvd, Los Angeles, CA 90038",rating not available/5,(1),4.0,$$,Yes
436,Tatsu Ramen,"Restaurants, Japanese Restaurants, Asian Restaurants",(323) 747-1388,"7111 Melrose Ave, Los Angeles, CA 90046",rating not available/5,(1),4.0,$$,Yes
440,Tatsu Ramen,"Restaurants, Japanese Restaurants, Asian Restaurants",(310) 684-2889,"2123 Sawtelle Blvd, Los Angeles, CA 90025",rating not available/5,(1),4.0,$$,Yes
447,Little Sister,"Restaurants, Vietnamese Restaurants, Asian Restaurants",(213) 628-3146,"523 W 7th St, Los Angeles, CA 90014",rating not available/5,(1),4.0,$$,Yes
550,Hangari Kalguksu,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 388-2326,"3470 W 6th St Ste 9, Los Angeles, CA 90020",rating not available/5,(1),4.5,$$,Yes
555,Saint Felix,"Restaurants, American Restaurants, Bars",(323) 469-5001,"1602 N Cahuenga Blvd, Los Angeles, CA 90028",rating not available/5,(1),4.0,$$,Yes
697,Propaganda Wine Bar,"Restaurants, Italian Restaurants",(213) 947-3200,"950 E 3rd Street  Los Angeles  90013, Los Angeles, CA 90013",rating not available/5,Review count not available,5.0,$$,No
702,Hearts & Flame,"Restaurants, Italian Restaurants, Take Out Restaurants",(213) 722-3050,"225 S Garey St   Los Angeles   Ca, Los Angeles, CA 90012",rating not available/5,Review count not available,4.0,$$$,Yes
716,Hatch,"Restaurants, Japanese Restaurants, Bars",(213) 282-9070,"700 W 7th St Ste G600, Los Angeles, CA 90017",rating not available/5,Review count not available,4.0,$$,Yes
717,Joey Dtla,"Restaurants, American Restaurants, Bars",(213) 372-5335,"700 W 7th St Ste S430, Los Angeles, CA 90017",rating not available/5,Review count not available,4.5,,No
721,Poppy + Rose,"Restaurants, American Restaurants, Sandwich Shops",(213) 995-7799,"765 Wall St, Los Angeles, CA 90014",rating not available/5,Review count not available,4.0,$$,Yes
