Restaurant_Id,Yelp_has_delivery,Yelp_type_Pricing,Yelp_Rating
107,Yes,$$,4.0
128,Yes,$$,4.0
156,Yes,$$,4.0
172,Yes,$$,4.0
174,Yes,$$$,4.0
230,Yes,$$$,4.0
240,Yes,$$$,4.5
1238,Yes,$$$,4.5
249,Yes,$$$,4.0
268,Yes,$$,4.0
1741,Yes,$$,4.0
282,Yes,$$,4.0
291,Yes,$$$,4.0
295,Yes,$$,4.5
317,Yes,$$,4.0
812,Yes,$$,4.0
330,Yes,$$,4.5
334,Yes,$$,4.5
348,Yes,$$,4.5
367,Yes,$$,4.0
382,Yes,$$,4.5
388,Yes,$$,4.0
396,Yes,$$,4.0
424,Yes,$$$,4.5
428,Yes,$$$,4.5
429,Yes,$$,4.5
431,Yes,$$$$,4.5
434,Yes,$$,4.0
436,Yes,$$,4.0
440,Yes,$$,4.0
447,Yes,$$,4.0
550,Yes,$$,4.5
555,Yes,$$,4.0
697,No,$$,5.0
702,Yes,$$$,4.0
716,Yes,$$,4.0
717,No,,4.5
721,Yes,$$,4.0
722,No,,4.5
749,Yes,$$$,4.5
754,Yes,$$$,4.0
755,No,$$,4.0
756,No,$$$$,4.0
766,Yes,$$,4.5
781,Yes,$$,4.5
787,Yes,,4.5
791,Yes,$$$,3.5
795,Yes,$$,4.5
802,Yes,$$,4.5
2103,Yes,$$,4.5
813,Yes,$$,4.0
814,Yes,$$,5.0
829,Yes,$$,4.5
834,Yes,$$$,4.0
839,Yes,$$,4.0
858,No,,4.5
869,Yes,$$$,4.0
877,Yes,$$,5.0
883,Yes,$$$,4.0
886,Yes,$$,4.5
1079,Yes,$$,4.0
1188,Yes,$$,4.0
1279,Yes,$,4.0
1349,Yes,$$,4.5
1448,Yes,$$,5.0
1500,Yes,$$,5.0
1508,Yes,$$,4.0
1527,Yes,$$,4.0
1607,Yes,$$,4.0
1624,Yes,$$$,4.5
1668,Yes,$$,4.5
1684,Yes,$$$,4.0
1692,No,$$$,4.0
1704,No,$$,4.0
1714,Yes,$$,4.0
1718,Yes,$$,4.5
1720,Yes,$$,4.5
1729,No,$$,4.5
1809,Yes,$$,4.0
1869,Yes,$$$,4.5
1881,Yes,$$,4.0
1894,Yes,$$,4.5
1912,Yes,$$$,4.0
1914,No,$$$$,4.0
1920,No,,4.0
1977,No,$$,4.0
1992,Yes,$$,4.0
2006,Yes,$$,5.0
2299,Yes,$$,4.0
2418,Yes,$$$,4.5
2430,Yes,$$,3.5
2453,Yes,$$,4.0
2455,No,$$$$,4.5
2457,No,$$,4.0
2535,No,$$$,4.5
2813,No,$$,4.0
2860,Yes,$$$$,4.0
2883,Yes,$,4.5
