Number,Name,Categories,Phone,Address,Rating,Rating Count
1,Palermo Ristorante Italiano,"Restaurants, Pizza, Italian Restaurants",(323) 663-1178,"1858 N Vermont Ave, Los Angeles, CA 90027",rating not available/5,(43)
2,Casa Bianca Pizza Pie,"Restaurants, Pizza, Italian Restaurants",(323) 256-9617,"Los Angeles, CA 90041",rating not available/5,(35)
3,Oyabun Seafood,"Restaurants, Seafood Restaurants, Sushi Bars",(323) 716-4355,"3060 W Olympic Blvd #150, Los Angeles, CA 90006",rating not available/5,(3)
4,Dulan Soul Food Kitchen,"Restaurants, Soul Food Restaurants, American Restaurants",(323) 418-8527,"Los Angeles, CA 90047",rating not available/5,(6)
5,Mauro's Restaurant,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Italian Restaurants",(323) 653-7970,"8112 Melrose Ave, Los Angeles, CA 90046",rating not available/5,(4)
6,Dinah's Family Restaurant,"Restaurants, Family Style Restaurants, Caterers",(310) 645-0456,"6521 S Sepulveda Blvd, Los Angeles, CA 90045",rating not available/5,(9)
7,Canele,"Restaurants, French Restaurants, American Restaurants",(323) 666-7133,"3219 Glendale Blvd, Los Angeles, CA 90039",rating not available/5,(6)
8,Tacos Baja,"Restaurants, Mexican Restaurants, Seafood Restaurants",(323) 887-1980,"5385 Whittier Blvd, Los Angeles, CA 90022",rating not available/5,(11)
9,Fish Grill,"Restaurants, Seafood Restaurants, American Restaurants",(323) 937-7162,"7226 Beverly Blvd, Los Angeles, CA 90036",rating not available/5,(9)
10,Maria's Italian Kitchen,"Restaurants, Italian Restaurants",(310) 441-3663,"10761 W Pico Blvd, Los Angeles, CA 90064",rating not available/5,(1)
11,TGI Fridays,"Restaurants, American Restaurants, Bar & Grills",(310) 337-1143,"6721 La Tijera Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
12,Marouch Restaurant,"Restaurants, Middle Eastern Restaurants, Mediterranean Restaurants",(323) 662-9325,"4905 Santa Monica Blvd, Los Angeles, CA 90029",rating not available/5,(12)
13,Divino,"Restaurants, Italian Restaurants, Pizza",(310) 472-0886,"11714 Barrington Ct, Los Angeles, CA 90049",rating not available/5,(7)
14,Amalfi Restaurant and Bar,"Restaurants, Pizza, Italian Restaurants",(323) 938-2504,"143 N la Brea Ave, Los Angeles, CA 90036",rating not available/5,(5)
15,The Boiling Crab,"Restaurants, Seafood Restaurants, Fish & Seafood Markets",(213) 389-2722,"3377 Wilshire Blvd Ste 115, Los Angeles, CA 90010",rating not available/5,(5)
16,The Main Course,"Restaurants, Health Food Restaurants, Family Style Restaurants",(310) 475-7564,"10509 W Pico Blvd, Los Angeles, CA 90064",rating not available/5,(3)
17,The Cellar,"Restaurants, American Restaurants, Bars",(310) 277-1584,"1880 Century Park E Ste 102, Los Angeles, CA 90067",rating not available/5,(2)
18,Rocco's Italian Kitchen,"Restaurants, Pizza, Italian Restaurants",(323) 655-0058,"6335 Wilshire Blvd, Los Angeles, CA 90048",rating not available/5,(13)
19,Fathers Office,"Restaurants, American Restaurants, Bars",(310) 736-2224,"3229 Helms Ave, Los Angeles, CA 90034",rating not available/5,(6)
20,Aki Restaurant,"Restaurants, Japanese Restaurants, Family Style Restaurants",(310) 479-8406,"11513 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,(4)
21,Sor Tino,"Restaurants, Italian Restaurants, Caterers",(310) 442-8466,"908 S Barrington Ave, Los Angeles, CA 90049",rating not available/5,(2)
22,Pipers Restaurant,"Restaurants, American Restaurants, Family Style Restaurants",(323) 465-7701,"222 N Western Ave, Los Angeles, CA 90004",rating not available/5,(1)
23,Post & Beam,"Restaurants, American Restaurants, Soul Food Restaurants",(323) 299-5599,"3767 Santa Rosalia Dr, Los Angeles, CA 90008",rating not available/5,(1)
24,Tamayo,"Restaurants, Latin American Restaurants, Caterers",(323) 260-4700,"5300 E Olympic Blvd, Los Angeles, CA 90022",rating not available/5,(1)
25,Humble Potato,"Restaurants, American Restaurants, Caterers",(323) 989-2242,"8321 Lincoln Blvd, Los Angeles, CA 90045",rating not available/5,(1)
26,Cork Bar & Grill Restaurant,"Restaurants, Pizza, Bars",(323) 731-2030,"4771 W Adams Blvd, Los Angeles, CA 90016",rating not available/5,(1)
27,Angelini Osteria,"Restaurants, Italian Restaurants, Mediterranean Restaurants",(323) 297-0070,"7313 Beverly Blvd, Los Angeles, CA 90036",rating not available/5,(14)
28,Carlitos Gardel Restaurant,"Restaurants, Family Style Restaurants, Latin American Restaurants",(323) 655-0891,"7963 Melrose Ave, Los Angeles, CA 90046",rating not available/5,(8)
29,Vincenti Restaurant,"Restaurants, Family Style Restaurants, Caterers",(310) 207-0127,"11930 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,(5)
30,The Stand - American Classics Redefined,"Restaurants, Mexican Restaurants, Caterers",(310) 785-0400,"2000 Avenue Of The Stars, Los Angeles, CA 90067",rating not available/5,(2)
31,Stevens Steak & Seafood House,"Restaurants, Steak Houses, Family Style Restaurants",Phone number not available,Address not available,rating not available/5,(140)
32,Oyabun Seafood,"Restaurants, Seafood Restaurants, Sushi Bars, Asian Restaurants",Phone number not available,Address not available,rating not available/5,(1)
33,Lares Restaurant,"Restaurants, Take Out Restaurants, Fast Food Restaurants, Mexican Restaurants, Caterers",Phone number not available,Address not available,rating not available/5,(125)
34,Eduardo's Border Grill,"Restaurants, Mexican Restaurants, Caterers, Party Favors, Supplies & Services",Phone number not available,Address not available,rating not available/5,Review count not available
35,Taxco Fine Mexican Restaurant,"Restaurants, Mexican Restaurants, Take Out Restaurants, Food Delivery Service, Caterers",Phone number not available,Address not available,rating not available/5,Review count not available
36,Mountain Valley Airport,"Restaurants, Aircraft Flight Training Schools, Lodging",Phone number not available,Address not available,rating not available/5,Review count not available
37,Berri's Pizza Cafe,"Restaurants, Italian Restaurants, Pizza",(323) 852-0642,"8412 W 3rd St, Los Angeles, CA 90048",rating not available/5,Review count not available
38,Veggie Grill,"Restaurants, Vegetarian Restaurants, Breakfast, Brunch & Lunch Restaurants",(323) 822-7575,"8000 W Sunset Blvd, Los Angeles, CA 90046",rating not available/5,(1)
39,Fish Grill,"Restaurants, Seafood Restaurants, Caterers",(310) 860-1182,"9618 W Pico Blvd, Los Angeles, CA 90035",rating not available/5,(1)
40,The Good Pizza,"Restaurants, Pizza, Italian Restaurants",(310) 215-1883,"7929 Emerson Ave, Los Angeles, CA 90045",rating not available/5,(1)
41,Headlines Diner & Press Club,"Restaurants, American Restaurants, Coffee Shops",(310) 208-2424,"10922 Kinross Ave, Los Angeles, CA 90024",rating not available/5,(1)
42,Pastina Restaurant,"Restaurants, Italian Restaurants, Family Style Restaurants",(310) 441-4655,"2260 Westwood Blvd, Los Angeles, CA 90064",rating not available/5,(1)
