name,rating,price,transactions,id,alias,image_url,is_closed,url,review_count,categories,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
GRANVILLE,4.5,$$,"['delivery', 'pickup', 'restaurant_reservation']",cal0Wpupxj9c_AV7WzDXsw,granville-west-hollywood-2,https://s3-media2.fl.yelpcdn.com/bphoto/znY6Wq1711cPvOtfKxWZZg/o.jpg,False,https://www.yelp.com/biz/granville-west-hollywood-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2756,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",14245225161.0,(424) 522-5161,5732.507032,34.0771299,-118.38068,8701 Beverly Blvd,,,West Hollywood,90048,US,CA,"['8701 Beverly Blvd', 'West Hollywood, CA 90048']"
Running Goose,4.5,$$,"['delivery', 'pickup', 'restaurant_reservation']",RVbZaawgEGmto6TxOoVBdQ,running-goose-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/Q-IG5LRfrr9sJXz-jx8XVQ/o.jpg,False,https://www.yelp.com/biz/running-goose-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,1744,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'latin', 'title': 'Latin American'}]",13234691080.0,(323) 469-1080,4380.601938,34.10052,-118.32927,1620 N Cahuenga Blvd,,,Los Angeles,90028,US,CA,"['1620 N Cahuenga Blvd', 'Los Angeles, CA 90028']"
Hangari Kalguksu,4.5,$$,"['delivery', 'pickup']",h1R2iKYdm2lwukzMJvJqDw,hangari-kalguksu-los-angeles-4,https://s3-media3.fl.yelpcdn.com/bphoto/X_U65O9YnvMyb42h1BZ0JQ/o.jpg,False,https://www.yelp.com/biz/hangari-kalguksu-los-angeles-4?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2641,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",12133882326.0,(213) 388-2326,2193.818219,34.06286026,-118.2975703,3470 W 6th St,Ste 9&10,,Los Angeles,90020,US,CA,"['3470 W 6th St', 'Ste 9&10', 'Los Angeles, CA 90020']"
L'Antica Pizzeria Da Michele,4.5,$$$,"['delivery', 'pickup']",88kri8FhXy8b3DQ_QjSMmQ,l-antica-pizzeria-da-michele-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/SCuuHjFSwNpuYxpncVDs9w/o.jpg,False,https://www.yelp.com/biz/l-antica-pizzeria-da-michele-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2080,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",13233662408.0,(323) 366-2408,4408.824608,34.09906083,-118.3373094,1534 N Mccadden Pl,,,Los Angeles,90028,US,CA,"['1534 N Mccadden Pl', 'Los Angeles, CA 90028']"
Met Him At A Bar,4.5,$$,"['delivery', 'pickup']",HuQtriV_ApipXfM8xax33w,met-him-at-a-bar-los-angeles-3,https://s3-media1.fl.yelpcdn.com/bphoto/UMnKtlRGHm7tBZoLJa0pvg/o.jpg,False,https://www.yelp.com/biz/met-him-at-a-bar-los-angeles-3?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,715,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13238523321.0,(323) 852-3321,2176.12867,34.060415,-118.345018,801 S La Brea,,,Los Angeles,90036,US,CA,"['801 S La Brea', 'Los Angeles, CA 90036']"
Anju House,4.5,,"['delivery', 'restaurant_reservation', 'pickup']",XgQ8riUvnMOBVfRG29NCEQ,anju-house-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/nBjVnxjoOi77nwD4BvYNcA/o.jpg,False,https://www.yelp.com/biz/anju-house-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,118,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",12133155153.0,(213) 315-5153,1575.47776,34.07015196,-118.3076326,234 S Oxford Ave,,,Los Angeles,90004,US,CA,"['234 S Oxford Ave', 'Los Angeles, CA 90004']"
Great White,4.0,$$,[],1RJCu-0D5ZEnVRBKwqodGQ,great-white-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/LyaoiXtGYaSF8aAn68fvig/o.jpg,False,https://www.yelp.com/biz/great-white-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,498,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13237455059.0,(323) 745-5059,1589.744678,34.07587723,-118.3233931,244 N Larchmont Blvd,,,Los Angeles,90004,US,CA,"['244 N Larchmont Blvd', 'Los Angeles, CA 90004']"
Republique,4.0,$$,"['delivery', 'pickup']",z0zaCVA-p_5xTsyUZrmR0g,republique-los-angeles-6,https://s3-media4.fl.yelpcdn.com/bphoto/Xy6oJ25E2QUzw_zsBD-dhA/o.jpg,False,https://www.yelp.com/biz/republique-los-angeles-6?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,7166,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13103626115.0,(310) 362-6115,2078.194204,34.064154,-118.343684,624 S La Brea Ave,,,Los Angeles,90036,US,CA,"['624 S La Brea Ave', 'Los Angeles, CA 90036']"
Burnin' Shell,4.5,$$$,[],IXX4iFv3YcU5TVyjncfQHg,burnin-shell-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/FXLigs_rRHhAc8m4X5KqLg/o.jpg,False,https://www.yelp.com/biz/burnin-shell-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,123,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",12133521300.0,(213) 352-1300,876.3882571,34.061463,-118.311848,3916 Wilshire Blvd,,,Los Angeles,90010,US,CA,"['3916 Wilshire Blvd', 'Los Angeles, CA 90010']"
King Chang - LA,5.0,,"['delivery', 'restaurant_reservation', 'pickup']",iRjnWYY5oVJTaZ5teU1vOQ,king-chang-la-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/CgAbwqPsL0evbTEHrO5_bQ/o.jpg,False,https://www.yelp.com/biz/king-chang-la-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,446,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",12133185250.0,(213) 318-5250,1629.950541,34.06329,-118.30372,3732 W 6th St,,,Los Angeles,90020,US,CA,"['3732 W 6th St', 'Los Angeles, CA 90020']"
